x,y,t
-88.9314323780742,-19.35412484864478,p
-88.9314323780742,-19.35412484864478,p
-88.9314323780742,-19.35412484864478,p
-88.9314323780742,-19.35412484864478,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.9314323780742,-19.35412484864478,p
-88.9314323780742,-19.35412484864478,p
-88.9314323780742,-19.35412484864478,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-89.00297721645565,-19.389920603993342,p
-89.01192032125331,-19.39439507341191,p
-89.01192032125331,-19.39439507341191,p
-89.01192032125331,-19.39439507341191,p
-89.04769274044403,-19.41229295108619,p
-89.01192032125331,-19.39439507341191,p
-89.01192032125331,-19.39439507341191,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.9314323780742,-19.35412484864478,p
-88.96720479726491,-19.37202272631906,p
-88.9314323780742,-19.35412484864478,p
-88.9314323780742,-19.35412484864478,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.9314323780742,-19.35412484864478,p
-88.9314323780742,-19.35412484864478,p
-88.9314323780742,-19.35412484864478,p
-88.9314323780742,-19.35412484864478,p
-88.96720479726491,-19.37202272631906,p
-88.9314323780742,-19.35412484864478,p
-88.9314323780742,-19.35412484864478,p
-88.96720479726491,-19.37202272631906,p
-88.96720479726491,-19.37202272631906,p
-88.9314323780742,-19.35412484864478,p
-88.89565995888348,-19.3362269709705,p
-88.89565995888348,-19.3362269709705,p
-88.89565995888348,-19.3362269709705,p
-88.9314323780742,-19.35412484864478,p
-88.9314323780742,-19.35412484864478,p
-88.89565995888348,-19.3362269709705,p
-88.89565995888348,-19.3362269709705,p
-88.85988753969276,-19.31832909329622,p
-88.85988753969276,-19.31832909329622,p
-88.85988753969276,-19.31832909329622,p
-88.85988753969276,-19.31832909329622,p
-88.85988753969276,-19.31832909329622,p
-88.85988753969276,-19.31832909329622,p
-88.89565995888348,-19.3362269709705,p
-88.8509444348951,-19.313854623877653,p
-88.81517201570438,-19.295956746203373,p
-88.81517201570438,-19.295956746203373,p
-88.81517201570438,-19.295956746203373,p
-88.81517201570438,-19.295956746203373,p
